filename,status,page_count,total_chars,avg_chars_per_page,preview,error
791b83558d6c412cb807b90e502a30dd_22_BRIEF_INFORMATION_ABOUT_B_TECH_BIOTECH_PROGRAMME_948df051.pdf,ok,1,2345,2345.0,"B.Tech. Biotechnology programme at Thapar Institute of Engineering & Technology, Patiala The Department of Biotechnology at Thapar Institute of Engineering & Technology, Patiala is committed to provid",
8203afe8b4f145158f407199ce907efe_11_ADMISSION_TO_PHD_PROGRAMS_54e1156c.pdf,ok,27,67170,2487.8,8. Ph.D. PROGRAMME (2026-27) Mode of Program: Regular/Part-time/Executive 8.1 ELIGIBILITY i. A candidate seeking admission to the degree of Doctor of Philosophy must have obtained M.E./ M.Tech./ MCA/ ,
83cbb8a55ce941d5b9f3656aa4fb2135_17_BRIEF_INFORMATION_ABOUT_MCA_2_YEAR_995bef0a.pdf,ok,1,915,915.0,MCA Programme Computer Science & Engineering Department offers a 2-Year MCA programme. This programme is designed to provide an opportunity to the students who hold minimum 3 years Bachelor Degree in ,
84f92be4f9d74bb5a5e6656a5f6237b3_Admissions_2026-2027_Refund_Policy_b2d57ffe.pdf,ok,1,759,759.0,"THAPAR INSTITUTE OF ENGINEERING & TECHNOLOGY, PATIALA 18th June, 2026 Admissions 2026-2027 Refund Policy As per the academic calendar issued by AICTE, the Institute shall follow the refund policy in a",
873add07e9fb4c51ad81e2e4760bfe98_Notice_regarding_Second_round_of_counselling_e0c7ab44.pdf,ok,1,1540,1540.0,"Notice regarding Second round of counselling for admission to vacant seats in Diploma programmes Dated: 12 June, 2026 The second round of counselling for admission to vacant seats of the diploma progr",
8a49c18e9a4940a5b91c775c118dedd1_07_ADMISSION_IN_SECOND_YEAR_OF_UG_PROGRAM__LATERAL_ENTRY__a6e788c8.pdf,ok,5,9649,1929.8,2 LATERAL ENTRY ADMISSION TO THE SECOND YEAR OF UG PROGRAMME (2026-27) 2.1 ELIGIBILITY A candidate shall be eligible for admission in the Second year of B.E. programs subject to the following conditio,
92257689063b4636bedb3135a866da02_13_INTERNATIONAL_ENGINEERING_PROGRAM_b893c519.pdf,ok,21,33497,1595.1,INTERNATIONAL ENGINEERING PROGRAM CREDIT-TRANSFER PROGRAM THAPAR INSTITUTE OF ENGINEERING & TECHNOLOGY AND UNIVERSITY OF QUEENSLAND (UQ) 1,
9a49c582d46b439b8e96e493cb2b99d7_IEP_Counselling_-_I_c37f03c5.pdf,ok,2,4618,2309.0,International Engineering Programs Counselling Thapar Institute of Engineering & Technology (TIET) announces the First round of counselling for the International Engineering Program (IEP) offered with,
9c986e54063c4c82a23d721f2825649f_04_Fake_agents_TIET_d6dbc6e1.pdf,ok,1,1750,1750.0,For Kind Attention: Prospective students seeking admission in BE/BTech and their Parents General public is hereby informed that all the admissions in BE/BTech program are made on the merit as prescrib,
9e19a5d83c884f50bd1ca2dfc3ad0cc7_05_TUITION_FEE_AND_OTHER_DUES_a65ade5d.pdf,ok,4,7543,1885.8,FEE AND OTHER DUES FOR THE VARIOUS PROGRAMMES (2026-27) FEE AND OTHER DUES FOR THE VARIOUS PROGRAMMES FOR OTHER THAN FN/NRI CATEGORY (A) Admission Fee (One Time fee to be paid at the time of admission,
ABETProgramme_20Enrollment_20and_20Degree_20Data_c26822ef.pdf,ok,1,406,406.0,Programme Enrollment and Degree Data Enrollment Year Degree Awarded Academic Total Total Year 1st 2nd 3rd Undergrad Grad 4th 5th Associates Bachelors Masters Doctorates FT 179 137 146 128 2 592 Curren,
ABET_final_statement_2_a9da596b.pdf,ok,5,5419,1083.8,"ENGINEERING ACCREDITATION COMMISSION Summary of Accreditation Actions 2018–2019 Accreditation Cycle Thapar Institute of Engineering and Technology Patiala, Punjab, India Computer Engineering (Bachelor",
ACADEMIC_20CALENDAR201718_c3f6347c.pdf,ok,2,3333,1666.5,ACADEMIC CALENDAR 2017-18 FIRST SEMESTER - Registration* (OTHER THAN FIRST YEAR STUDENTS) 24.07.2017 – 28.07.2017 - Commencement of Classes (OTHER THAN FIRST YEAR 24.07.2017 at 13:00 Hours STUDENTS) -,
ADMISSION_20FOR_20FN-NRI_20CANDIDATES_19c1175a.pdf,ok,2,3599,1799.5,10 ADMISSION OF FN/NRI CANDIDATES (For all Programs): 15% over and above seats in each program/discipline are reserved for the FN/NRI candidates. Such candidates are not required to appear in the Entr,
ADMISSION_20TO_20PHD_20PROGRAMS_d60b82cc.pdf,ok,26,64046,2463.3,8. Ph.D. PROGRAMME ELIGIBILITY i. A candidate seeking admission to the degree of Doctor of Philosophy must have obtained M.E./M.Tech./M.Phil./MCA/M.Sc./M.A./M.B.A./C.A. or equivalent with minimum CGPA,
AI-DS_2024_COURSE_SCHEME_25201f20.pdf,ok,198,296182,1495.9,COURSE SCHEME AND SYLLABUS FOR B.E. (AI & DS) 2024,
AI_ML24_4eb92ba0.pdf,ok,52,80554,1549.1,COURSE SCHEME AND SYLLABUS FOR B.E. (AI & ML) 2024 Page 1 of 52,
ANTI-ALCOHOLANTI-DRUG_20ABUSE_20POLICY_0d6b83fe.pdf,ok,1,3195,3195.0,"THAPAR INSTITUTE OF ENGINEERING & TECHNOLOGY, PATIALA 29. ANTI-ALCOHOL/DRUG ABUSE POLICY THAPAR INSTITUTE OF ENGINEERING & TECHNOLOGY, PATIALA has the responsibility to maintain an educational environ",
AcademicRegulations_df5965c7.pdf,ok,47,123389,2625.3,"THAPAR INSTITUTE OF ENGINEERING & TECHNOLOGY, PATIALA ACADEMIC REGULATIONS (UPDATED MARCH 2026) 1. The provisions, contained in this set of Regulations, govern the policies and procedures on the admis",
Academic_Documented_Information_2025_de8d8be9.pdf,ok,34,29477,867.0,"TIET, PATIALA ACADEMIC DOCUMENTED INFORMATION THAPAR INSTITUTE OF ENGINEERING & TECHNOLOGY (Deemed to be University) PATIALA-147004 ACADEMIC DOCUMENTED INFORMATION MANUAL TIET/QMS/DI/ACAD Release No.:",
BECOE2021sep_39126b90.pdf,ok,189,291194,1540.7,"Thapar Institute of Engineering & Technology, Patiala COURSES SCHEME FOR BE (COMPUTER ENGINEERING) 2021",
