url,type,status,saved_path
https://www.thapar.edu/upload/files/Notice for TIET Class of 1988 & 1989 Scholarships.pdf,pdf,downloaded,output\pdfs\Notice_for_TIET_Class_of_1988___1989_Scholarships_b1fa8da9.pdf
https://www.thapar.edu/upload/files/Notice MCM-Other Scholarship 2022-23.pdf,pdf,downloaded,output\pdfs\Notice_MCM-Other_Scholarship_2022-23_fb81ded5.pdf
https://www.thapar.edu/upload/files/TENTATIVE MERIT LIST UG 2020 BATCH (4th Yr).pdf,pdf,downloaded,output\pdfs\TENTATIVE_MERIT_LIST_UG_2020_BATCH__4th_Yr__a33ae173.pdf
https://www.thapar.edu/upload/files/NOTICE_NEW_SCHOLARSHIP_SCHEME-PUNJAB_GOVT..pdf,pdf,downloaded,output\pdfs\NOTICE_NEW_SCHOLARSHIP_SCHEME-PUNJAB_GOVT._3465e135.pdf
https://www.thapar.edu/upload/files/NOTICE DATE EXTENSION (ALUMNI & OTHER SCHOLARSHIPS) 2022-23.pdf,pdf,downloaded,output\pdfs\NOTICE_DATE_EXTENSION__ALUMNI___OTHER_SCHOLARSHIPS__2022-23_1e6fa0d5.pdf
https://www.thapar.edu/upload/files/NOTICE_FOR_EXTENSION_OF_DATE_FOR-Merit_cum_means_2020-21-%281.03.21%29.pdf,pdf,downloaded,output\pdfs\NOTICE_FOR_EXTENSION_OF_DATE_FOR-Merit_cum_means_2020-21-_281.03.21_29_0cb3d90f.pdf
https://www.thapar.edu/upload/files/AFFIDAVIT FOR DECLARING FAMILY(MCM).pdf,pdf,downloaded,output\pdfs\AFFIDAVIT_FOR_DECLARING_FAMILY_MCM__9c185d4a.pdf
https://www.thapar.edu/upload/files/NOTICE AWARENES ABOUT GOVERNMENT SCHOLARSHIPS (2023-24).pdf,pdf,downloaded,output\pdfs\NOTICE_AWARENES_ABOUT_GOVERNMENT_SCHOLARSHIPS__2023-24__55691d45.pdf
https://www.thapar.edu/upload/files/mcm_other.pdf,pdf,downloaded,output\pdfs\mcm_other_b6e74d6d.pdf
https://www.thapar.edu/upload/files/NOTICE_CLOSING_DATES__ABOUT_GOVERNMENT_SCHOLARSHIPS_22.10.20_%281%29.pdf,pdf,downloaded,output\pdfs\NOTICE_CLOSING_DATES__ABOUT_GOVERNMENT_SCHOLARSHIPS_22.10.20__281_29_55d5b0d0.pdf
https://www.thapar.edu/upload/files/TENTATIVE MERIT LIST PG 2022 BATCH (2nd Yr).pdf,pdf,downloaded,output\pdfs\TENTATIVE_MERIT_LIST_PG_2022_BATCH__2nd_Yr__b5eb6d8d.pdf
https://www.thapar.edu/upload/files/5)MCM-UG & PG (except final year)-2020-21.pdf,pdf,downloaded,output\pdfs\5_MCM-UG___PG__except_final_year_-2020-21_67f7d9ab.pdf
https://www.thapar.edu/upload/files/Notice for Post Matric (date extension) Govt.pdf,pdf,skipped_status_404,
https://www.thapar.edu/upload/files/NOTICE-_GOVERNMENT_SCHOLARSHIP_%28NSP%29_SCHEME_DATE_EXTENDED_01.01.2021.pdf,pdf,downloaded,output\pdfs\NOTICE-_GOVERNMENT_SCHOLARSHIP__28NSP_29_SCHEME_DATE_EXTENDED_01.01.2021_5b5901ac.pdf
https://www.thapar.edu/upload/files/NOTICE-ALUMNI_SCHOLARSHIP_2019-20.pdf,pdf,downloaded,output\pdfs\NOTICE-ALUMNI_SCHOLARSHIP_2019-20_99ce8787.pdf
https://www.thapar.edu/upload/files/NOTICE-Merit_cum_means_2020-21-website.pdf,pdf,downloaded,output\pdfs\NOTICE-Merit_cum_means_2020-21-website_40d030dc.pdf
https://www.thapar.edu/upload/files/MERIT_CUM_MEANS_SCHOLARSHIP_2019-20.pdf,pdf,downloaded,output\pdfs\MERIT_CUM_MEANS_SCHOLARSHIP_2019-20_829f0713.pdf
https://www.thapar.edu/upload/files/NOTICE FOR DATE EXTNSION OF MERIT-CUM- MEANS  2023-24.pdf,pdf,downloaded,output\pdfs\NOTICE_FOR_DATE_EXTNSION_OF_MERIT-CUM-_MEANS__2023-24_7d90035f.pdf
https://www.thapar.edu/upload/files/PROFORMA-TIET-DOAA-SCHMCM.pdf,pdf,downloaded,output\pdfs\PROFORMA-TIET-DOAA-SCHMCM_7c74d8e2.pdf
https://www.thapar.edu/upload/files/6) OTHER MERIT SCHOLARSHIPS-2020-21.pdf,pdf,downloaded,output\pdfs\6__OTHER_MERIT_SCHOLARSHIPS-2020-21_259902d4.pdf
https://www.thapar.edu/upload/files/2022-23 NSP Scholarship Receiptent (FRESH & RENEWAL).pdf,pdf,downloaded,output\pdfs\2022-23_NSP_Scholarship_Receiptent__FRESH___RENEWAL__1bef4b0d.pdf
https://www.thapar.edu/upload/files/NOTICE FOR TIET MERIT CUM MEANS SCHOLARSHIP FOR THE YEAR 2021-22.pdf,pdf,downloaded,output\pdfs\NOTICE_FOR_TIET_MERIT_CUM_MEANS_SCHOLARSHIP_FOR_THE_YEAR_2021-22_db71afbe.pdf
https://www.thapar.edu/upload/files/SCHOLARSHIP POLICY (2018-19).pdf,pdf,downloaded,output\pdfs\SCHOLARSHIP_POLICY__2018-19__519820ce.pdf
https://www.thapar.edu/upload/files/Notice_of_I_M_Thapar_Scholarship.pdf,pdf,downloaded,output\pdfs\Notice_of_I_M_Thapar_Scholarship_6c2f3e36.pdf
https://www.thapar.edu/upload/files/DATE EXTE-Merit Scholarship (Alumni) 2021-22.pdf,pdf,downloaded,output\pdfs\DATE_EXTE-Merit_Scholarship__Alumni__2021-22_ff7ee4d8.pdf
https://www.thapar.edu/upload/files/NOTICE_AWARENES_ABOUT_GOVERNMENT_SCHOLARSHIPS.pdf,pdf,downloaded,output\pdfs\NOTICE_AWARENES_ABOUT_GOVERNMENT_SCHOLARSHIPS_51e1844d.pdf
https://www.thapar.edu/upload/files/Notice_for_NSP.pdf,pdf,downloaded,output\pdfs\Notice_for_NSP_aaff4a03.pdf
https://www.thapar.edu/upload/files/2)MERIT- FINAL YEAR UG  with bank account details 08.06.21.pdf,pdf,downloaded,output\pdfs\2_MERIT-_FINAL_YEAR_UG__with_bank_account_details_08.06.21_e86c0666.pdf
https://www.thapar.edu/upload/files/FINAL LIST OF ALUMNI & OTHER SCHOLARSHIPS 2021-22.pdf,pdf,downloaded,output\pdfs\FINAL_LIST_OF_ALUMNI___OTHER_SCHOLARSHIPS_2021-22_322fa103.pdf
https://www.thapar.edu/upload/files/MERIT & MCM SCHOLARSHIP (FINAL YEAR ST.) FOR THE YEAR 2018-19.pdf,pdf,downloaded,output\pdfs\MERIT___MCM_SCHOLARSHIP__FINAL_YEAR_ST.__FOR_THE_YEAR_2018-19_f337b462.pdf
https://www.thapar.edu/upload/files/TENTATIVE MERIT LIST UG 2022 BATCH(2nd Yr).pdf,pdf,downloaded,output\pdfs\TENTATIVE_MERIT_LIST_UG_2022_BATCH_2nd_Yr__3273cb7d.pdf
https://www.thapar.edu/upload/files/NOTICE FOR TIET MERIT CUM MEANS SCHOLARSHIP FOR THE YEAR 2022-23.pdf,pdf,downloaded,output\pdfs\NOTICE_FOR_TIET_MERIT_CUM_MEANS_SCHOLARSHIP_FOR_THE_YEAR_2022-23_aa99022f.pdf
https://www.thapar.edu/upload/files/NOTICE-REVISED CLOSING DATES OF POST MATRIC.pdf.pdf,pdf,skipped_status_404,
https://www.thapar.edu/upload/files/Notification 2023-24_Pragati Saksham and Swanath Schemes.pdf,pdf,downloaded,output\pdfs\Notification_2023-24_Pragati_Saksham_and_Swanath_Schemes_6b7266ac.pdf
https://www.thapar.edu/upload/files/NOTICE MERIT-Alumni 2022-23.pdf,pdf,downloaded,output\pdfs\NOTICE_MERIT-Alumni_2022-23_48707bfa.pdf
https://www.thapar.edu/upload/files/Notice for TIET Class of 1965 & 1987_Scholarships.pdf,pdf,downloaded,output\pdfs\Notice_for_TIET_Class_of_1965___1987_Scholarships_fa25fd8f.pdf
https://www.thapar.edu/upload/files/SCHOLARSHIP POLICY 2021-22 (updated) 13.12.21.pdf,pdf,downloaded,output\pdfs\SCHOLARSHIP_POLICY_2021-22__updated__13.12.21_8ee6cfd7.pdf
https://www.thapar.edu/upload/files/MERIT SCHOLARSHIP 1st Year(LEET-2020 BATCH)FOR 2020-21.pdf,pdf,downloaded,output\pdfs\MERIT_SCHOLARSHIP_1st_Year_LEET-2020_BATCH_FOR_2020-21_72aee54e.pdf
https://www.thapar.edu/upload/files/FINAL LIST OF ALUMNI & OTHER SCHOLARSHIP AWARDEE FOR 2022-23.pdf,pdf,downloaded,output\pdfs\FINAL_LIST_OF_ALUMNI___OTHER_SCHOLARSHIP_AWARDEE_FOR_2022-23_766f53ce.pdf
https://www.thapar.edu/upload/files/NOTICE_FOR_EXTENSION_OF_DATE_FOR-Merit_cum_means_2020-21-%2811.02.21%29.pdf,pdf,downloaded,output\pdfs\NOTICE_FOR_EXTENSION_OF_DATE_FOR-Merit_cum_means_2020-21-_2811.02.21_29_e6472ab0.pdf
https://www.thapar.edu/upload/files/Notice for Merit-Cum-Means Scholarship (Other) for the year 2018-19.pdf,pdf,downloaded,output\pdfs\Notice_for_Merit-Cum-Means_Scholarship__Other__for_the_year_2018-19_28c8048f.pdf
https://www.thapar.edu/upload/files/2018-19 NSP Scholarship Receiptent (FRESH & RENEWAL).pdf,pdf,downloaded,output\pdfs\2018-19_NSP_Scholarship_Receiptent__FRESH___RENEWAL__29be6ae8.pdf
https://www.thapar.edu/upload/files/Notice for IM Thapar_Scholarship.pdf,pdf,downloaded,output\pdfs\Notice_for_IM_Thapar_Scholarship_8766d542.pdf
https://www.thapar.edu/upload/files/Sh._Ram_Gopal_Narula_MCM_Scholarship_proposal.pdf,pdf,downloaded,output\pdfs\Sh._Ram_Gopal_Narula_MCM_Scholarship_proposal_2370b385.pdf
https://www.thapar.edu/upload/files/2019-20 NSP Scholarship Receiptent (FRESH & RENEWAL).pdf,pdf,downloaded,output\pdfs\2019-20_NSP_Scholarship_Receiptent__FRESH___RENEWAL__71d81df0.pdf
https://www.thapar.edu/upload/files/NOTICE_FOR_EXTENSION_OF_DATE_FOR-Merit_cum_means_2020-21-%2801.02.21%29.pdf,pdf,downloaded,output\pdfs\NOTICE_FOR_EXTENSION_OF_DATE_FOR-Merit_cum_means_2020-21-_2801.02.21_29_3e49b5a6.pdf
https://www.thapar.edu/upload/files/NOTICE-_NSP_DATE_EXTENSION-MSJE_%2819.02.21%29.pdf,pdf,downloaded,output\pdfs\NOTICE-_NSP_DATE_EXTENSION-MSJE__2819.02.21_29_3dc87dff.pdf
https://www.thapar.edu/upload/files/DATE EXE-Merit-cum-Means (Other) Scholarship 2021-22.pdf,pdf,downloaded,output\pdfs\DATE_EXE-Merit-cum-Means__Other__Scholarship_2021-22_0222362b.pdf
https://www.thapar.edu/upload/files/MERIT_SCHOLARSHIP_2019-20_%28WEBSITE_01.07.20%29.pdf,pdf,downloaded,output\pdfs\MERIT_SCHOLARSHIP_2019-20__28WEBSITE_01.07.20_29_22c6c5d8.pdf
https://www.thapar.edu/upload/files/MERIT SCHOLARSHIP 1st Year  (MCA & MSc.-2020 BATCH) FOR 2020-21.pdf,pdf,downloaded,output\pdfs\MERIT_SCHOLARSHIP_1st_Year___MCA___MSc.-2020_BATCH__FOR_2020-21_0f09492e.pdf
https://www.thapar.edu/upload/files/Notice_Merit-cum-Means_%28Alumni%29_2020-21.pdf,pdf,downloaded,output\pdfs\Notice_Merit-cum-Means__28Alumni_29_2020-21_68724dc5.pdf
https://www.thapar.edu/upload/files/MERIT_CUM_MEANS_%28OTHER%29_SCHOLARSHIP_2019-20.pdf,pdf,downloaded,output\pdfs\MERIT_CUM_MEANS__28OTHER_29_SCHOLARSHIP_2019-20_df5f083b.pdf
https://www.thapar.edu/upload/files/Merit_Cum_Means_Scholarship.pdf,pdf,downloaded,output\pdfs\Merit_Cum_Means_Scholarship_9516cbba.pdf
https://www.thapar.edu/upload/files/Awareness About  Government.pdf,pdf,downloaded,output\pdfs\Awareness_About__Government_99a5044c.pdf
https://www.thapar.edu/upload/files/mcm_alumni.pdf,pdf,downloaded,output\pdfs\mcm_alumni_0fcd5732.pdf
https://www.thapar.edu/upload/files/FINAL LIST OF MERIT-CUM MEANS SCHOLARSHIP AWARDEE FOR 2022-23.pdf,pdf,downloaded,output\pdfs\FINAL_LIST_OF_MERIT-CUM_MEANS_SCHOLARSHIP_AWARDEE_FOR_2022-23_f1c53358.pdf
https://www.thapar.edu/upload/files/2020-21 NSP Scholarship Receiptent (FRESH & RENEWAL).pdf,pdf,downloaded,output\pdfs\2020-21_NSP_Scholarship_Receiptent__FRESH___RENEWAL__37a3dc46.pdf
https://www.thapar.edu/upload/files/MERIT SCHOLARSHIP (EXCEPT FINAL YEAR ST.) FOR THE YEAR 2018-19.pdf,pdf,skipped_too_large,
https://www.thapar.edu/upload/files/4)MERIT SCHOLARSHIP UG (except final year)-2020-21.pdf,pdf,downloaded,output\pdfs\4_MERIT_SCHOLARSHIP_UG__except_final_year_-2020-21_a28d3000.pdf
https://www.thapar.edu/upload/files/FINAL LIST TIET MERIT-CUM-MEANS SCHOLARSHIP 2021-22 (PG & UG).pdf,pdf,downloaded,output\pdfs\FINAL_LIST_TIET_MERIT-CUM-MEANS_SCHOLARSHIP_2021-22__PG___UG__614a406b.pdf
https://www.thapar.edu/upload/files/1)MERIT-FINAL YEAR PG  with bank account details 08.06.21.pdf,pdf,downloaded,output\pdfs\1_MERIT-FINAL_YEAR_PG__with_bank_account_details_08.06.21_3422f700.pdf
https://www.thapar.edu/upload/files/FINAL LIST OF MERIT SCHOLARSHIP AWARDEEFOR2022-23.pdf,pdf,downloaded,output\pdfs\FINAL_LIST_OF_MERIT_SCHOLARSHIP_AWARDEEFOR2022-23_f57d1ab5.pdf
https://www.thapar.edu/upload/files/REVISED TENTATIVE MERIT LIST (PG & UG) STUDENTS FOR 2023-24  .pdf,pdf,downloaded,output\pdfs\REVISED_TENTATIVE_MERIT_LIST__PG___UG__STUDENTS_FOR_2023-24___f7e751ce.pdf
https://www.thapar.edu/upload/files/Notice_Merit_Scholarship_%28Alumni%29_2020-21%281%29.pdf,pdf,downloaded,output\pdfs\Notice_Merit_Scholarship__28Alumni_29_2020-21_281_29_cd7fb954.pdf
https://www.thapar.edu/upload/files/FINAL LIST TIET MERIT (R) SCHOLARSHIP 2021-22 (PG & UG).pdf,pdf,downloaded,output\pdfs\FINAL_LIST_TIET_MERIT__R__SCHOLARSHIP_2021-22__PG___UG__69c8a836.pdf
https://www.thapar.edu/upload/files/SCHOLARSHIPS_%26_TUITION_FREESHIPS__2020-21-website.pdf,pdf,downloaded,output\pdfs\SCHOLARSHIPS__26_TUITION_FREESHIPS__2020-21-website_35f6d1d2.pdf
https://www.thapar.edu/upload/files/NOTICE_FOR_EXTENSION_OF_DATE_FOR-Merit_cum_means_2020-21.pdf,pdf,downloaded,output\pdfs\NOTICE_FOR_EXTENSION_OF_DATE_FOR-Merit_cum_means_2020-21_14ea8d73.pdf
https://www.thapar.edu/upload/files/NOTICE AWARENES ABOUT GOVERNMENT SCHOLARSHIPS 2021-22.pdf,pdf,downloaded,output\pdfs\NOTICE_AWARENES_ABOUT_GOVERNMENT_SCHOLARSHIPS_2021-22_fdcab2b5.pdf
https://www.thapar.edu/upload/files/EXTENSIONDATEMerit cum means 2021-22-(17.03.21).pdf,pdf,downloaded,output\pdfs\EXTENSIONDATEMerit_cum_means_2021-22-_17.03.21__0e5a9b51.pdf
https://www.thapar.edu/upload/files/NOTICE FORDATEEXTNSIONOFMERITCUMMEANSSCHOLARSHIP2022-23.pdf,pdf,downloaded,output\pdfs\NOTICE_FORDATEEXTNSIONOFMERITCUMMEANSSCHOLARSHIP2022-23_6359197d.pdf
https://www.thapar.edu/upload/files/Notice_other_sch..pdf,pdf,downloaded,output\pdfs\Notice_other_sch._94177a66.pdf
https://www.thapar.edu/upload/files/Notice for Alumni scholarship (Date Extension) for the year 2018-19.pdf,pdf,downloaded,output\pdfs\Notice_for_Alumni_scholarship__Date_Extension__for_the_year_2018-19_4988cbf8.pdf
https://www.thapar.edu/upload/files/Notice for Merit-Cum-Means (Other)date extension for the year 2018-19.pdf,pdf,downloaded,output\pdfs\Notice_for_Merit-Cum-Means__Other_date_extension_for_the_year_2018-19_36291adb.pdf
https://www.thapar.edu/upload/files/TENTATIVE MERIT LIST UG 2021 BATCH (3rd Yr).pdf,pdf,downloaded,output\pdfs\TENTATIVE_MERIT_LIST_UG_2021_BATCH__3rd_Yr__6d12ed8c.pdf
https://www.thapar.edu/upload/files/MCM%2C_ALUMNI_%26_OTHER_SCHOLARSHIP_2019-20_%28website_01.07.20%29.pdf,pdf,downloaded,output\pdfs\MCM_2C_ALUMNI__26_OTHER_SCHOLARSHIP_2019-20__28website_01.07.20_29_d560f63d.pdf
https://www.thapar.edu/upload/files/7)ALUMNI SCHOLARSHIPS-2020-21.pdf,pdf,downloaded,output\pdfs\7_ALUMNI_SCHOLARSHIPS-2020-21_9b1602de.pdf
https://www.thapar.edu/upload/files/Alumni_Sch._2019-20.pdf,pdf,downloaded,output\pdfs\Alumni_Sch._2019-20_c1a475aa.pdf
"https://www.thapar.edu/upload/files/TOP CLASS EDUCATION-OBC,EBC, DNT STUDENTS 2022-23.pdf",pdf,downloaded,output\pdfs\TOP_CLASS_EDUCATION-OBC_EBC__DNT_STUDENTS_2022-23_95c50658.pdf
https://www.thapar.edu/upload/files/SCHOLARSHIPS_FREESHIP_%282019-20%29.pdf,pdf,downloaded,output\pdfs\SCHOLARSHIPS_FREESHIP__282019-20_29_61de90c0.pdf
https://www.thapar.edu/upload/files/Punjabscholarship_Notice.pdf,pdf,downloaded,output\pdfs\Punjabscholarship_Notice_d831369d.pdf
https://www.thapar.edu/upload/files/Notice for Merit-Cum-Means-Scholarship (date extension) for 2018-19.pdf,pdf,downloaded,output\pdfs\Notice_for_Merit-Cum-Means-Scholarship__date_extension__for_2018-19_13971764.pdf
https://www.thapar.edu/upload/files/Notice MCM-Other Scholarship-II 15.03.22.pdf,pdf,downloaded,output\pdfs\Notice_MCM-Other_Scholarship-II_15.03.22_6831a0e9.pdf
https://www.thapar.edu/upload/files/Notice_Merit-cum-Means_%28Others%29_2020-21.pdf,pdf,downloaded,output\pdfs\Notice_Merit-cum-Means__28Others_29_2020-21_3d3f2d3b.pdf
https://www.thapar.edu/upload/files/3)MCM-FINAL YEAR UG  & PG with bank account details.pdf,pdf,downloaded,output\pdfs\3_MCM-FINAL_YEAR_UG____PG_with_bank_account_details_d2bc7262.pdf
https://www.thapar.edu/upload/files/NOTICE-GURU_HARKRISHAN_EDUCATION.pdf,pdf,downloaded,output\pdfs\NOTICE-GURU_HARKRISHAN_EDUCATION_2b533fcc.pdf
https://www.thapar.edu/upload/files/TIET Scholarship Policy 2022-23.pdf,pdf,downloaded,output\pdfs\TIET_Scholarship_Policy_2022-23_0c1c0132.pdf
https://www.thapar.edu/upload/files/Notice for Post Matric Scholarship (Govt.).pdf,pdf,downloaded,output\pdfs\Notice_for_Post_Matric_Scholarship__Govt.__aa4570da.pdf
https://www.thapar.edu/upload/files/merit_alumni.pdf,pdf,downloaded,output\pdfs\merit_alumni_a752840b.pdf
https://www.thapar.edu/upload/files/Notice-Other_Merit__Scholarships_2020-21.pdf,pdf,downloaded,output\pdfs\Notice-Other_Merit__Scholarships_2020-21_ec3c9dfc.pdf
https://www.thapar.edu/upload/files/AICTE-SWANATH SCHOLARSHIP SCHEME 2021-22.pdf,pdf,downloaded,output\pdfs\AICTE-SWANATH_SCHOLARSHIP_SCHEME_2021-22_926ba5e4.pdf
https://www.thapar.edu/upload/files/MERIT-CUM-MEANS SCHOLARSHIP FOR THE YEAR 2018-19.pdf,pdf,downloaded,output\pdfs\MERIT-CUM-MEANS_SCHOLARSHIP_FOR_THE_YEAR_2018-19_2e5d6f11.pdf
https://www.thapar.edu/upload/files/NOTICE-Pragti_and_Saksham_Scholarship_2020-21.pdf,pdf,downloaded,output\pdfs\NOTICE-Pragti_and_Saksham_Scholarship_2020-21_f373bb28.pdf
https://www.thapar.edu/upload/files/2021-22 NSP Scholarship Receiptent (FRESH & RENEWAL).pdf,pdf,downloaded,output\pdfs\2021-22_NSP_Scholarship_Receiptent__FRESH___RENEWAL__242564a0.pdf
https://www.thapar.edu/upload/files/Notice for Alumni Scholarship for the year 2018-19.pdf,pdf,downloaded,output\pdfs\Notice_for_Alumni_Scholarship_for_the_year_2018-19_e61672e4.pdf
https://www.thapar.edu/upload/files/SCHOLARSHIP POLICY 2023-24.pdf,pdf,downloaded,output\pdfs\SCHOLARSHIP_POLICY_2023-24_fa4e132f.pdf
https://www.thapar.edu/upload/files/Merit_Cum_Means_%28other%29_Scholarship.pdf,pdf,downloaded,output\pdfs\Merit_Cum_Means__28other_29_Scholarship_7452c7b2.pdf
https://www.thapar.edu/upload/files/TIETMERITCUMMEANSSCh YEAR 2023-24.pdf,pdf,downloaded,output\pdfs\TIETMERITCUMMEANSSCh_YEAR_2023-24_1c49ddd3.pdf
https://www.thapar.edu/upload/files/NOTICE_BOOKING.COM_2019-20.pdf,pdf,downloaded,output\pdfs\NOTICE_BOOKING.COM_2019-20_5ac8b5cb.pdf
https://www.thapar.edu/upload/files/NOTICE MCM-ALUMNI 2022-23.pdf,pdf,downloaded,output\pdfs\NOTICE_MCM-ALUMNI_2022-23_87d7779e.pdf
https://www.thapar.edu/upload/files/NOTICE-_GOVERNMENT_SCHOLARSHIP_%28NSP%29_SCHEME_DATE_EXTENDED_31.12.2020.pdf,pdf,downloaded,output\pdfs\NOTICE-_GOVERNMENT_SCHOLARSHIP__28NSP_29_SCHEME_DATE_EXTENDED_31.12.2020_644bb7e1.pdf
https://www.thapar.edu/upload/files/NOTICE-NSP ext.pdf,pdf,downloaded,output\pdfs\NOTICE-NSP_ext_7361337f.pdf
https://www.thapar.edu/upload/files/EIL_SCHOLARSHIP_2019-NEW.pdf,pdf,downloaded,output\pdfs\EIL_SCHOLARSHIP_2019-NEW_6ac3248c.pdf
https://www.thapar.edu/programmes/pages/electronics-and-computer-engineering,html,text_extracted,output\html_text\electronics-and-computer-engineering_1e68038e.txt
https://www.thapar.edu/programmes/pages/mechanical-engineering-production,html,text_extracted,output\html_text\mechanical-engineering-production_9d0ebc15.txt
https://www.thapar.edu/programmes/pages/btech-in-mechatronics,html,text_extracted,output\html_text\btech-in-mechatronics_ebc1bdec.txt
https://www.thapar.edu/programmes/pages/me-mtech,html,text_extracted,output\html_text\me-mtech_d193e772.txt
https://www.thapar.edu/programmes/pages/electronics-instrumentation-control-engineering,html,text_extracted,output\html_text\electronics-instrumentation-control-engineering_c7f07469.txt
https://www.thapar.edu/programmes/pages/civil-engineering,html,text_extracted,output\html_text\civil-engineering_f8865e26.txt
https://www.thapar.edu/programmes/pages/electrical-engineering,html,text_extracted,output\html_text\electrical-engineering_5918df3f.txt
https://www.thapar.edu/programmes/pages/be-btech-biomedical-engineering1,html,text_extracted,output\html_text\be-btech-biomedical-engineering1_012904bc.txt
https://www.thapar.edu/programmes/pages/computer-engineering,html,text_extracted,output\html_text\computer-engineering_334bff8e.txt
https://www.thapar.edu/programmes/pages/mechanical-engineering,html,text_extracted,output\html_text\mechanical-engineering_f6a0658d.txt
https://www.thapar.edu/programmes/pages/doctor-of-philosophy,html,text_extracted,output\html_text\doctor-of-philosophy_b40060f0.txt
https://thapar.edu/images/admission17/PhD%20Admission%20Notification-III.PDF,pdf,downloaded,output\pdfs\PhD_20Admission_20Notification-III_404ad2a0.PDF
https://thapar.edu/images/admission17/PhD%20Admission%20Notification-I.PDF,pdf,downloaded,output\pdfs\PhD_20Admission_20Notification-I_57bf496f.PDF
https://thapar.edu/images/admission17/PhD%20Admission%20Notification-V.PDF,pdf,downloaded,output\pdfs\PhD_20Admission_20Notification-V_0938f1d0.PDF
https://thapar.edu/images/admission17/PhD_Result-2017.pdf,pdf,downloaded,output\pdfs\PhD_Result-2017_3e0c1ee7.pdf
https://thapar.edu/images/admission17/PhD%20Admission%20Notification-IV.PDF,pdf,downloaded,output\pdfs\PhD_20Admission_20Notification-IV_b36b17f6.PDF
https://thapar.edu/images/admission17/FREQUENTLY%20ASKED%20QUESTIONS%20FAQ.pdf,pdf,downloaded,output\pdfs\FREQUENTLY_20ASKED_20QUESTIONS_20FAQ_13a47c72.pdf
https://thapar.edu/images/admission17/BRIEF%20INTRODUCTION.pdf,pdf,downloaded,output\pdfs\BRIEF_20INTRODUCTION_2808291c.pdf
https://thapar.edu/images/admission17/PhD%20Admission%20Notification-VI.PDF,pdf,downloaded,output\pdfs\PhD_20Admission_20Notification-VI_2e4e348e.PDF
https://thapar.edu/images/admission17/DISCIPLINE.pdf,pdf,downloaded,output\pdfs\DISCIPLINE_58a095dd.pdf
https://thapar.edu/images/admission17/ANTI-ALCOHOLANTI-DRUG%20ABUSE%20POLICY.pdf,pdf,downloaded,output\pdfs\ANTI-ALCOHOLANTI-DRUG_20ABUSE_20POLICY_0d6b83fe.pdf
https://thapar.edu/images/admission17/HOSTEL%20FACILITIES.pdf,pdf,downloaded,output\pdfs\HOSTEL_20FACILITIES_ffadaf52.pdf
https://thapar.edu/images/admission17/IMPORTANT%20DATES%20AND%20INFORMATION.pdf,pdf,downloaded,output\pdfs\IMPORTANT_20DATES_20AND_20INFORMATION_664acb38.pdf
https://thapar.edu/images/admission17/FEE%20CHALLAN%20KOTAK.pdf,pdf,downloaded,output\pdfs\FEE_20CHALLAN_20KOTAK_34e2ef45.pdf
https://thapar.edu/images/admission17/TUITION%20FEE%20AND%20OTHER%20DUES.pdf,pdf,downloaded,output\pdfs\TUITION_20FEE_20AND_20OTHER_20DUES_88386f58.pdf
https://thapar.edu/images/admission17/Venue%20for%20entrance%20exam.pdf,pdf,downloaded,output\pdfs\Venue_20for_20entrance_20exam_7de6d095.pdf
https://thapar.edu/images/admission17/FEATURES%20OF%20UG-PG%20PROGRAMS.pdf,pdf,downloaded,output\pdfs\FEATURES_20OF_20UG-PG_20PROGRAMS_fc676154.pdf
https://thapar.edu/images/admission17/STUDENT%20ACTIVITIES.pdf,pdf,downloaded,output\pdfs\STUDENT_20ACTIVITIES_52598db6.pdf
https://thapar.edu/images/admission17/FORMATS%20OF%20CERTIFICATES.pdf,pdf,downloaded,output\pdfs\FORMATS_20OF_20CERTIFICATES_481dd0b0.pdf
https://thapar.edu/images/admission17/PhD%20Admission%20Notification-II.PDF,pdf,downloaded,output\pdfs\PhD_20Admission_20Notification-II_60d6360b.PDF
https://thapar.edu/images/admission17/NAVA%20NALANDA%20CENTRAL%20LIBRARY.pdf,pdf,skipped_status_404,
https://thapar.edu/images/admission17/SCHOLARSHIPS.pdf,pdf,downloaded,output\pdfs\SCHOLARSHIPS_8e5c9158.pdf
https://thapar.edu/images/admission17/ADMISSION%20FOR%20FN-NRI%20CANDIDATES.pdf,pdf,downloaded,output\pdfs\ADMISSION_20FOR_20FN-NRI_20CANDIDATES_19c1175a.pdf
https://thapar.edu/images/admission17/PhD%20Interview%20and%20Admission%20Schedule%20July%202017.pdf,pdf,downloaded,output\pdfs\PhD_20Interview_20and_20Admission_20Schedule_20July_202017_fb6295a3.pdf
https://thapar.edu/images/admission17/PRIZES%20AND%20MEDALS.pdf,pdf,downloaded,output\pdfs\PRIZES_20AND_20MEDALS_0abfbacb.pdf
https://thapar.edu/images/admission17/LMTSM_RAT-2017%20SYLLABI.pdf,pdf,downloaded,output\pdfs\LMTSM_RAT-2017_20SYLLABI_632506d8.pdf
https://thapar.edu/images/admission17/PREFACE.pdf,pdf,downloaded,output\pdfs\PREFACE_380fd319.pdf
https://thapar.edu/images/admission17/ADMISSION%20TO%20PHD%20PROGRAMS.pdf,pdf,downloaded,output\pdfs\ADMISSION_20TO_20PHD_20PROGRAMS_d60b82cc.pdf
