url,type,status,saved_path
https://static.npfs.co/accounts/664/documents/2026/6/12/3fe5e02ed4da43ada235fe0553d33453_WITHDRAWAL FORM DIPLOMA.pdf,pdf,downloaded,output\pdfs\3fe5e02ed4da43ada235fe0553d33453_WITHDRAWAL_FORM_DIPLOMA_c5a97525.pdf
https://static.npfs.co/accounts/664/documents/2026/6/26/8203afe8b4f145158f407199ce907efe_11 ADMISSION TO PHD PROGRAMS.pdf,pdf,downloaded,output\pdfs\8203afe8b4f145158f407199ce907efe_11_ADMISSION_TO_PHD_PROGRAMS_54e1156c.pdf
https://static.npfs.co/accounts/664/documents/2026/1/24/3106a6d3903c43ceb31dfee1cd64e6c5_09%20ADMISSION%20TO%20MCA%20PROGRAM.pdf,pdf,downloaded,output\pdfs\3106a6d3903c43ceb31dfee1cd64e6c5_09_20ADMISSION_20TO_20MCA_20PROGRAM_20421a75.pdf
https://static.npfs.co/accounts/664/documents/2026/6/18/84f92be4f9d74bb5a5e6656a5f6237b3_Admissions 2026-2027 Refund Policy.pdf,pdf,downloaded,output\pdfs\84f92be4f9d74bb5a5e6656a5f6237b3_Admissions_2026-2027_Refund_Policy_b2d57ffe.pdf
https://static.npfs.co/accounts/664/documents/2026/3/21/10e8487afed645f0b6812b7159416fbd_Payment Mode Details.pdf,pdf,downloaded,output\pdfs\10e8487afed645f0b6812b7159416fbd_Payment_Mode_Details_7eb1ee7d.pdf
https://static.npfs.co/accounts/664/documents/2026/5/16/c604ce55cd2d47d1aadf6039679377c5_Cut off - First online counselling on the basis of JEE - 2026.pdf,pdf,downloaded,output\pdfs\c604ce55cd2d47d1aadf6039679377c5_Cut_off_-_First_online_counselling_on_the_basis_of_JEE_-_2026_6a10c3b5.pdf
https://static.npfs.co/accounts/664/documents/2026/5/31/24943a9fc0174c0691e3a7c98def5572_Diploma Counselling - I Schedule.pdf,pdf,downloaded,output\pdfs\24943a9fc0174c0691e3a7c98def5572_Diploma_Counselling_-_I_Schedule_02a9c095.pdf
https://static.npfs.co/accounts/664/documents/2026/5/21/9a49c582d46b439b8e96e493cb2b99d7_IEP Counselling - I.pdf,pdf,downloaded,output\pdfs\9a49c582d46b439b8e96e493cb2b99d7_IEP_Counselling_-_I_c37f03c5.pdf
https://static.npfs.co/accounts/664/documents/2026/5/1/190396079a034243b7aafab0f14d98e1_06 ADMISSION TO FIRST YEAR UG PROGRAM.pdf,pdf,downloaded,output\pdfs\190396079a034243b7aafab0f14d98e1_06_ADMISSION_TO_FIRST_YEAR_UG_PROGRAM_26c351e1.pdf
https://static.npfs.co/accounts/664/documents/2026/1/24/57f5952c44894e2b89bc4a4a9e3dced3_12 ADMISSION FOR FN-NRI CANDIDATES.pdf,pdf,downloaded,output\pdfs\57f5952c44894e2b89bc4a4a9e3dced3_12_ADMISSION_FOR_FN-NRI_CANDIDATES_29200a3d.pdf
